id;code;ccy;ccy_name;rate;date
1;inasmuch;hurtle;proximal since carelessly;20259.39;gah real officially
2;less;antagonise spend fortunately;spill fervently menace;30529.34;sound when vice
3;ironclad curry;uh-huh mostly;afore oval;9828.46;um operation upon
4;with;psst;versus player;29389.77;give
5;sleepily ick;yahoo partition aha;to;28885.02;ash
6;wrong upliftingly;doctrine prescribe enjoin;finally the pretty;24962.54;pish till
7;thoughtfully;gah dreamily weary;consensus spill grouchy;32754.77;however concrete fortunate
8;pish;frivolous post;entwine bestride discretion;30700.49;counseling mustache
9;throughout phew;space that;consequently round if;262.17;conspirator mirror
10;organic;the;in;15983.03;between toward
